medio,titular,url,fecha,len_titular
Andina,Jefe del Gabinete: no cabe una censura ni una vacancia contra el presidente Jerí,https://andina.pe/agencia/noticia-jefe-del-gabinete-no-cabe-una-censura-ni-una-vacancia-contra-presidente-jeri-1061034.aspx,,80
Andina,Elecciones 2026: Carlos Espá propone crear cinco penales de máxima seguridad,https://andina.pe/agencia/noticia-elecciones-2026-carlos-espa-propone-crear-cinco-penales-maxima-seguridad-1061084.aspx,,76
Andina,"PJ dispone 36 meses de prisión preventiva para Erick Moreno, alias ""El Monstruo""",https://andina.pe/agencia/noticia-pj-dispone-36-meses-prision-preventiva-para-erick-moreno-alias-monstruo-1061085.aspx,,80
Andina,Cancillería confirmó la liberación de dos peruanos que estaban detenidos en Venezuela,https://andina.pe/agencia/noticia-cancilleria-confirmo-liberacion-dos-peruanos-estaban-detenidos-venezuela-1061075.aspx,,85
Andina,"Ministro de Justicia: “No existen fronteras que protejan a quienes atentan contra la paz""",https://andina.pe/agencia/noticia-ministro-justicia-no-existen-fronteras-protejan-a-quienes-atentan-contra-paz-1061071.aspx,,89
Andina,Ernesto Álvarez: estado de emergencia está dando resultados y tiene que ampliarse en Lima,https://andina.pe/agencia/noticia-ernesto-alvarez-estado-emergencia-esta-dando-resultados-y-tiene-ampliarse-lima-1061057.aspx,,89
Andina,"Presidente José Jerí monitorea traslado de Erick Moreno, alias ""El Monstruo""",https://andina.pe/agencia/noticia-presidente-jose-jeri-monitorea-traslado-erick-moreno-alias-monstruo-1061069.aspx,,76
Andina,Elecciones 2026: conoce cómo se realizará el sorteo nacional de miembros de mesa,https://andina.pe/agencia/noticia-elecciones-2026-conoce-como-se-realizara-sorteo-nacional-miembros-mesa-1060929.aspx,,80
Andina,JNE realizó sorteo para designar a tercer miembro de primeros 28 JEE,https://andina.pe/agencia/noticia-jne-realizo-sorteo-para-designar-a-tercer-miembro-primeros-28-jee-1061054.aspx,,68
Andina,Presidente del Consejo de Ministros resalta solidez del Gabinete y descarta alejamiento,https://andina.pe/agencia/noticia-presidente-del-consejo-ministros-resalta-solidez-del-gabinete-y-descarta-alejamiento-1061046.aspx,,87
